year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,6.699998516554089,7.091932440837731,,-12.80987763852297,24.407034037868563,3.45,
2006,7.000003211089961,10.01086518864611,,-13.158411827309305,34.48037078896792,3.65,
2007,7.800000118721613,13.1491247062982,,-32.09625939390503,40.69600685372085,2.874,
2008,7.899998271549393,20.47052191099642,,-20.513854908672887,44.12653826363261,4.942,
2009,3.9000011482649626,6.448234810666968,,-14.408531865659976,31.443831351233193,7.028,
2010,6.499999085852352,6.445314407806583,,-10.29875658431479,35.81043651098154,7.037,
2011,7.400000599567093,12.4315490430406,,-6.336558673443415,41.737952647059174,7.04,
2012,7.4999994632152465,5.831166010314624,,-8.926954867051075,42.215839455542095,7.022,
2013,7.39999974700379,5.00964645344951,,-10.472882149375774,43.76835749077985,7.019,
2014,6.7000006901625255,6.104427651296671,,-3.4727122791737433,37.135978402486295,7.024,
2015,6.019303317711859,5.714559496497104,,-5.767738651495079,27.30655780919599,7.033,
2016,6.8999999999999915,6.004580823221391,,-5.232351462969223,26.706057139520045,7.036,
2017,7.100000418643091,,,2.109352618937977,29.68497215624028,7.035,
2018,7.5999988895536035,,,-4.889665061863541,28.117714497870168,7.028,
2019,7.40000016310556,,,-2.232249185105846,27.97177189396775,7.026,
2020,4.400001115534934,,,4.349180926276493,26.8848943162433,7.576,
2021,9.399999550375227,,-1.6270097639110257,8.229378666064369,32.68937947850954,7.687,
2022,8.000000338463636,,-0.3960202611741073,15.257363425392084,49.89531245370589,7.051,
2023,8.299999216519353,,-1.0177128056320803,4.769800543770072,37.84457819463422,7.037,
